model_id,model_name,prompt_id,latency_sec,tokens_per_sec,output_length,vocab_diversity,peak_ram_mb,peak_gpu_mb
distilgpt2,DistilGPT-2 (Small),1,6.5866,21.1036,9,1.0,639.41,
distilgpt2,DistilGPT-2 (Small),2,7.2448,19.4624,9,1.0,643.38,
distilgpt2,DistilGPT-2 (Small),3,8.0762,17.3348,9,1.0,643.38,
distilgpt2,DistilGPT-2 (Small),4,6.6994,21.196,13,1.0,643.62,
distilgpt2,DistilGPT-2 (Small),5,6.8726,20.3707,8,1.0,643.62,
distilgpt2,DistilGPT-2 (Small),6,7.7736,18.267,13,0.9231,643.72,
distilgpt2,DistilGPT-2 (Small),7,6.8488,20.4414,8,1.0,644.07,
distilgpt2,DistilGPT-2 (Small),8,6.8926,20.4568,12,0.9167,644.07,
distilgpt2,DistilGPT-2 (Small),9,0.1052,123.5847,10,1.0,643.77,
distilgpt2,DistilGPT-2 (Small),10,6.5561,21.5067,11,1.0,643.83,
